"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","subgroup:ch1","subtype:ch1","tissue:ch1"
"GSM2261538","MB_SubtypeStudy_55001","GSM2261538","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: SHH","subtype: SHH_beta","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261538/suppl/GSM2261538_HTHuGene11_020411K_MT1_1.CEL.gz","21641","Reanalyzed by: GSE124814","SHH","SHH_beta","medulloblastoma"
"GSM2261539","MB_SubtypeStudy_55002","GSM2261539","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: Group3","subtype: Group3_alpha","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261539/suppl/GSM2261539_HTHuGene11_020414H_MT1_0002.CEL.gz","21641","Reanalyzed by: GSE124814","Group3","Group3_alpha","medulloblastoma"
"GSM2261540","MB_SubtypeStudy_55003","GSM2261540","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: Group4","subtype: Group4_gamma","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261540/suppl/GSM2261540_HTHuGene11_070711K_MT273_MB-3.CEL.gz","21641","Reanalyzed by: GSE124814","Group4","Group4_gamma","medulloblastoma"
"GSM2261541","MB_SubtypeStudy_55004","GSM2261541","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: Group4","subtype: Group4_beta","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261541/suppl/GSM2261541_HTHuGene11_072511K_MT329_MB-4.CEL.gz","21641","Reanalyzed by: GSE124814","Group4","Group4_beta","medulloblastoma"
"GSM2261542","MB_SubtypeStudy_55005","GSM2261542","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: Group4","subtype: Group4_alpha","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261542/suppl/GSM2261542_HTHuGene11_072511K_MT318_MB-5.CEL.gz","21641","Reanalyzed by: GSE124814","Group4","Group4_alpha","medulloblastoma"
"GSM2261543","MB_SubtypeStudy_55006","GSM2261543","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: SHH","subtype: SHH_beta","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261543/suppl/GSM2261543_HTHuGene11_020411K_MT2_6.CEL.gz","21641","Reanalyzed by: GSE124814","SHH","SHH_beta","medulloblastoma"
"GSM2261544","MB_SubtypeStudy_55007","GSM2261544","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: SHH","subtype: SHH_alpha","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261544/suppl/GSM2261544_HTHuGene11_020411K_MT3_7.CEL.gz","21641","Reanalyzed by: GSE124814","SHH","SHH_alpha","medulloblastoma"
"GSM2261545","MB_SubtypeStudy_55008","GSM2261545","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: Group3","subtype: Group3_beta","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261545/suppl/GSM2261545_HTHuGene11_111511K_MT458_MB-8.CEL.gz","21641","Reanalyzed by: GSE124814","Group3","Group3_beta","medulloblastoma"
"GSM2261546","MB_SubtypeStudy_55009","GSM2261546","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: Group4","subtype: Group4_gamma","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261546/suppl/GSM2261546_HTHuGene11_072511K_MT321_MB-9.CEL.gz","21641","Reanalyzed by: GSE124814","Group4","Group4_gamma","medulloblastoma"
"GSM2261547","MB_SubtypeStudy_55010","GSM2261547","Public on Jun 13 2017","Aug 04 2016","Jan 08 2019","RNA","1","Fresh frozen","Homo sapiens","tissue: medulloblastoma","subgroup: SHH","subtype: SHH_gamma","total RNA","Snap frozen tissue was homogenized using the Precellys 24 tissue homogenizer in Trizol Reagent. RNA was extracted from the homogenized tissue according to the manufacturer's instructions for Trizol Reagent. RNA was measured with nanoDrop and Agilent Bioanalyzer for quantity and quality.","biotin","As directed by affimetrix","9606","As directed by affimetrix","As directed by affimetrix","Expression data were analyzed in the R environment (v3.1.1). We used the affy package (v1.44.0) and the custom chip definition file (CDF) hugene11sthsensgcdf (v19.0.0) (from http://brainarray.mbni.med.umich.edu/Brainarray/Database/CustomCDF/19.0.0/ensg.asp) to load and summarize the expression of 21,641 Ensembl (ENSG) genes and process the data. Samples flagged by the arrayQualityMetrics Bioconductor package (v3.22.0) were removed due to low quality.  Expression data were normalized using the rma method.","The expression table (available on the series record) contains the normalized log2 gene expression values. The first 5 columns contain annotations; the Probe.Set.Name and description given by the Brainarray CDF package used (v19) and the corresponding Ensembl gene ID, HGNC symbol and ID retrieved from ensembl v77 (Otober 2014). This version of Ensembl has been used since the Brain array CDF package used (v19) has been released in November 2014.","GPL22286","Florence,M G,Cavalli","fmgcavalli@gmail.com","Developmental and Stem Cell","The Hospital for Sick Children","PGCRL, 686 Bay Street","Toronto","Ontario","M5G 0A4","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2261nnn/GSM2261547/suppl/GSM2261547_HTHuGene11_020411K_MT4_10.CEL.gz","21641","Reanalyzed by: GSE124814","SHH","SHH_gamma","medulloblastoma"
